rank,question
37,What is the genre of the movie 'Interstellar'?
37,"Can you recommend a movie similar to 'Interstellar' in the Adventure,Drama,Sci-Fi genre?"
37,In which other movies did Matthew McConaughey star besides 'Interstellar'?
38,What is the genre of the movie 'Doctor Strange'?
38,"Can you recommend a movie similar to 'Doctor Strange' in the Action,Adventure,Fantasy genre?"
38,What other movies did Scott Derrickson direct besides 'Doctor Strange'?
39,What is the genre of the movie 'The Magnificent Seven'?
39,"Can you recommend a movie similar to 'The Magnificent Seven' in the Action,Adventure,Western genre?"
39,In which other movies did Vincent D'Onofrio star besides 'The Magnificent Seven'?
40,What is the genre of the movie '5- 25- 77'?
40,"Can you recommend a movie similar to '5- 25- 77' in the Comedy,Drama genre?"
40,What other movies did Patrick Read Johnson direct besides '5- 25- 77'?
41,What is the genre of the movie 'Sausage Party'?
41,"Can you recommend a movie similar to 'Sausage Party' in the Animation,Adventure,Comedy genre?"
41,What other movies did Greg Tiernan direct besides 'Sausage Party'?
42,What is the genre of the movie 'Moonlight'?
42,Can you recommend a movie similar to 'Moonlight' in the Drama genre?
42,In which other movies did Shariff Earp star besides 'Moonlight'?
43,What is the genre of the movie 'Don't Fuck in the Woods'?
43,Can you recommend a movie similar to 'Don't Fuck in the Woods' in the Horror genre?
43,What other movies did Shawn Burkett direct besides 'Don't Fuck in the Woods'?
44,What is the genre of the movie 'The Founder'?
44,"Can you recommend a movie similar to 'The Founder' in the Biography,Drama,History genre?"
44,What other movies did John Lee Hancock direct besides 'The Founder'?
45,What is the genre of the movie 'Lowriders'?
45,Can you recommend a movie similar to 'Lowriders' in the Drama genre?
45,In which other movies did Demián Bichir star besides 'Lowriders'?
46,What is the genre of the movie 'Pirates of the Caribbean: On Stranger Tides'?
46,"Can you recommend a movie similar to 'Pirates of the Caribbean: On Stranger Tides' in the Action,Adventure,Fantasy genre?"
46,In which other movies did Johnny Depp star besides 'Pirates of the Caribbean: On Stranger Tides'?
47,What is the genre of the movie 'Miss Sloane'?
47,"Can you recommend a movie similar to 'Miss Sloane' in the Drama,Thriller genre?"
47,What other movies did John Madden direct besides 'Miss Sloane'?
48,What is the genre of the movie 'Fallen'?
48,"Can you recommend a movie similar to 'Fallen' in the Adventure,Drama,Fantasy genre?"
48,In which other movies did Joely Richardson star besides 'Fallen'?
49,What is the genre of the movie 'Star Trek Beyond'?
49,"Can you recommend a movie similar to 'Star Trek Beyond' in the Action,Adventure,Sci-Fi genre?"
49,What other movies did Justin Lin direct besides 'Star Trek Beyond'?
50,What is the genre of the movie 'The Last Face'?
50,Can you recommend a movie similar to 'The Last Face' in the Drama genre?
50,What other movies did Sean Penn direct besides 'The Last Face'?
51,What is the genre of the movie 'Star Wars: Episode VII - The Force Awakens'?
51,"Can you recommend a movie similar to 'Star Wars: Episode VII - The Force Awakens' in the Action,Adventure,Fantasy genre?"
51,What other movies did J.J. Abrams direct besides 'Star Wars: Episode VII - The Force Awakens'?
52,What is the genre of the movie 'Underworld: Blood Wars'?
52,"Can you recommend a movie similar to 'Underworld: Blood Wars' in the Action,Adventure,Fantasy genre?"
52,What other movies did Anna Foerster direct besides 'Underworld: Blood Wars'?
53,What is the genre of the movie 'Mother's Day'?
53,"Can you recommend a movie similar to 'Mother's Day' in the Comedy,Drama genre?"
53,In which other movies did Julia Roberts star besides 'Mother's Day'?
54,What is the genre of the movie 'John Wick'?
54,"Can you recommend a movie similar to 'John Wick' in the Action,Crime,Thriller genre?"
54,What other movies did Chad Stahelski direct besides 'John Wick'?
55,What is the genre of the movie 'The Dark Knight'?
55,"Can you recommend a movie similar to 'The Dark Knight' in the Action,Crime,Drama genre?"
55,In which other movies did Michael Caine star besides 'The Dark Knight'?
56,What is the genre of the movie 'Silence'?
56,"Can you recommend a movie similar to 'Silence' in the Adventure,Drama,History genre?"
56,In which other movies did Tadanobu Asano star besides 'Silence'?
57,What is the genre of the movie 'Don't Breathe'?
57,"Can you recommend a movie similar to 'Don't Breathe' in the Crime,Horror,Thriller genre?"
57,In which other movies did Jane Levy star besides 'Don't Breathe'?
58,What is the genre of the movie 'Me Before You'?
58,"Can you recommend a movie similar to 'Me Before You' in the Drama,Romance genre?"
58,What other movies did Thea Sharrock direct besides 'Me Before You'?
59,What is the genre of the movie 'Their Finest'?
59,"Can you recommend a movie similar to 'Their Finest' in the Comedy,Drama,Romance genre?"
59,In which other movies did Jack Huston star besides 'Their Finest'?
60,What is the genre of the movie 'Sully'?
60,"Can you recommend a movie similar to 'Sully' in the Biography,Drama genre?"
60,In which other movies did Valerie Mahaffey star besides 'Sully'?
61,What is the genre of the movie 'Batman v Superman: Dawn of Justice'?
61,"Can you recommend a movie similar to 'Batman v Superman: Dawn of Justice' in the Action,Adventure,Sci-Fi genre?"
61,In which other movies did Amy Adams star besides 'Batman v Superman: Dawn of Justice'?
62,What is the genre of the movie 'The Autopsy of Jane Doe'?
62,"Can you recommend a movie similar to 'The Autopsy of Jane Doe' in the Horror,Mystery,Thriller genre?"
62,What other movies did André Øvredal direct besides 'The Autopsy of Jane Doe'?
63,What is the genre of the movie 'The Girl on the Train'?
63,"Can you recommend a movie similar to 'The Girl on the Train' in the Crime,Drama,Mystery genre?"
63,In which other movies did Emily Blunt star besides 'The Girl on the Train'?
64,What is the genre of the movie 'Fifty Shades of Grey'?
64,"Can you recommend a movie similar to 'Fifty Shades of Grey' in the Drama,Romance,Thriller genre?"
64,In which other movies did Eloise Mumford star besides 'Fifty Shades of Grey'?
65,What is the genre of the movie 'The Prestige'?
65,"Can you recommend a movie similar to 'The Prestige' in the Drama,Mystery,Sci-Fi genre?"
65,In which other movies did Michael Caine star besides 'The Prestige'?
66,What is the genre of the movie 'Kingsman: The Secret Service'?
66,"Can you recommend a movie similar to 'Kingsman: The Secret Service' in the Action,Adventure,Comedy genre?"
66,What other movies did Matthew Vaughn direct besides 'Kingsman: The Secret Service'?
67,What is the genre of the movie 'Patriots Day'?
67,"Can you recommend a movie similar to 'Patriots Day' in the Drama,History,Thriller genre?"
67,What other movies did Peter Berg direct besides 'Patriots Day'?
68,What is the genre of the movie 'Mad Max: Fury Road'?
68,"Can you recommend a movie similar to 'Mad Max: Fury Road' in the Action,Adventure,Sci-Fi genre?"
68,In which other movies did Tom Hardy star besides 'Mad Max: Fury Road'?
69,What is the genre of the movie 'Wakefield'?
69,Can you recommend a movie similar to 'Wakefield' in the Drama genre?
69,In which other movies did Jennifer Garner star besides 'Wakefield'?
70,What is the genre of the movie 'Deepwater Horizon'?
70,"Can you recommend a movie similar to 'Deepwater Horizon' in the Action,Drama,Thriller genre?"
70,In which other movies did Kurt Russell star besides 'Deepwater Horizon'?
71,What is the genre of the movie 'The Promise'?
71,"Can you recommend a movie similar to 'The Promise' in the Drama,History genre?"
71,What other movies did Terry George direct besides 'The Promise'?
72,What is the genre of the movie 'Allied'?
72,"Can you recommend a movie similar to 'Allied' in the Action,Drama,Romance genre?"
72,What other movies did Robert Zemeckis direct besides 'Allied'?
73,What is the genre of the movie 'A Monster Calls'?
73,"Can you recommend a movie similar to 'A Monster Calls' in the Drama,Fantasy genre?"
73,What other movies did J.A. Bayona direct besides 'A Monster Calls'?
74,What is the genre of the movie 'Collateral Beauty'?
74,"Can you recommend a movie similar to 'Collateral Beauty' in the Drama,Romance genre?"
74,What other movies did David Frankel direct besides 'Collateral Beauty'?
75,What is the genre of the movie 'Zootopia'?
75,"Can you recommend a movie similar to 'Zootopia' in the Animation,Adventure,Comedy genre?"
75,What other movies did Byron Howard direct besides 'Zootopia'?
76,What is the genre of the movie 'Pirates of the Caribbean: At World's End'?
76,"Can you recommend a movie similar to 'Pirates of the Caribbean: At World's End' in the Action,Adventure,Fantasy genre?"
76,What other movies did Gore Verbinski direct besides 'Pirates of the Caribbean: At World's End'?
77,What is the genre of the movie 'The Avengers'?
77,"Can you recommend a movie similar to 'The Avengers' in the Action,Sci-Fi genre?"
77,What other movies did Joss Whedon direct besides 'The Avengers'?
78,What is the genre of the movie 'Inglourious Basterds'?
78,"Can you recommend a movie similar to 'Inglourious Basterds' in the Adventure,Drama,War genre?"
78,What other movies did Quentin Tarantino direct besides 'Inglourious Basterds'?
79,What is the genre of the movie 'Pirates of the Caribbean: Dead Man's Chest'?
79,"Can you recommend a movie similar to 'Pirates of the Caribbean: Dead Man's Chest' in the Action,Adventure,Fantasy genre?"
79,In which other movies did Orlando Bloom star besides 'Pirates of the Caribbean: Dead Man's Chest'?
80,What is the genre of the movie 'Ghostbusters'?
80,"Can you recommend a movie similar to 'Ghostbusters' in the Action,Comedy,Fantasy genre?"
80,In which other movies did Kristen Wiig star besides 'Ghostbusters'?
81,What is the genre of the movie 'Inception'?
81,"Can you recommend a movie similar to 'Inception' in the Action,Adventure,Sci-Fi genre?"
81,What other movies did Christopher Nolan direct besides 'Inception'?
82,What is the genre of the movie 'Captain Fantastic'?
82,"Can you recommend a movie similar to 'Captain Fantastic' in the Comedy,Drama genre?"
82,In which other movies did George MacKay star besides 'Captain Fantastic'?
83,What is the genre of the movie 'The Wolf of Wall Street'?
83,"Can you recommend a movie similar to 'The Wolf of Wall Street' in the Biography,Comedy,Crime genre?"
83,What other movies did Martin Scorsese direct besides 'The Wolf of Wall Street'?
84,What is the genre of the movie 'Gone Girl'?
84,"Can you recommend a movie similar to 'Gone Girl' in the Crime,Drama,Mystery genre?"
84,What other movies did David Fincher direct besides 'Gone Girl'?
85,What is the genre of the movie 'Furious Seven'?
85,"Can you recommend a movie similar to 'Furious Seven' in the Action,Crime,Thriller genre?"
85,What other movies did James Wan direct besides 'Furious Seven'?
86,What is the genre of the movie 'Jurassic World'?
86,"Can you recommend a movie similar to 'Jurassic World' in the Action,Adventure,Sci-Fi genre?"
86,In which other movies did Chris Pratt star besides 'Jurassic World'?
87,What is the genre of the movie 'Live by Night'?
87,"Can you recommend a movie similar to 'Live by Night' in the Crime,Drama genre?"
87,In which other movies did Brendan Gleeson star besides 'Live by Night'?
88,What is the genre of the movie 'Avatar'?
88,"Can you recommend a movie similar to 'Avatar' in the Action,Adventure,Fantasy genre?"
88,In which other movies did Sigourney Weaver star besides 'Avatar'?
89,What is the genre of the movie 'The Hateful Eight'?
89,"Can you recommend a movie similar to 'The Hateful Eight' in the Crime,Drama,Mystery genre?"
89,What other movies did Quentin Tarantino direct besides 'The Hateful Eight'?
90,What is the genre of the movie 'The Accountant'?
90,"Can you recommend a movie similar to 'The Accountant' in the Action,Crime,Drama genre?"
90,In which other movies did Jon Bernthal star besides 'The Accountant'?
91,What is the genre of the movie 'Prisoners'?
91,"Can you recommend a movie similar to 'Prisoners' in the Crime,Drama,Mystery genre?"
91,In which other movies did Melissa Leo star besides 'Prisoners'?
92,What is the genre of the movie 'Warcraft'?
92,"Can you recommend a movie similar to 'Warcraft' in the Action,Adventure,Fantasy genre?"
92,What other movies did Duncan Jones direct besides 'Warcraft'?
93,What is the genre of the movie 'The Help'?
93,Can you recommend a movie similar to 'The Help' in the Drama genre?
93,What other movies did Tate Taylor direct besides 'The Help'?
94,What is the genre of the movie 'War Dogs'?
94,"Can you recommend a movie similar to 'War Dogs' in the Comedy,Crime,Drama genre?"
94,What other movies did Todd Phillips direct besides 'War Dogs'?
95,What is the genre of the movie 'Avengers: Age of Ultron'?
95,"Can you recommend a movie similar to 'Avengers: Age of Ultron' in the Action,Adventure,Sci-Fi genre?"
95,In which other movies did Mark Ruffalo star besides 'Avengers: Age of Ultron'?
96,What is the genre of the movie 'The Nice Guys'?
96,"Can you recommend a movie similar to 'The Nice Guys' in the Action,Comedy,Crime genre?"
96,In which other movies did Ryan Gosling star besides 'The Nice Guys'?
97,What is the genre of the movie 'Kimi no na wa'?
97,"Can you recommend a movie similar to 'Kimi no na wa' in the Animation,Drama,Fantasy genre?"
97,In which other movies did Ryô Narita star besides 'Kimi no na wa'?
98,What is the genre of the movie 'The Void'?
98,"Can you recommend a movie similar to 'The Void' in the Horror,Mystery,Sci-Fi genre?"
98,What other movies did Jeremy Gillespie direct besides 'The Void'?
99,What is the genre of the movie 'Personal Shopper'?
99,"Can you recommend a movie similar to 'Personal Shopper' in the Drama,Mystery,Thriller genre?"
99,What other movies did Olivier Assayas direct besides 'Personal Shopper'?
100,What is the genre of the movie 'The Departed'?
100,"Can you recommend a movie similar to 'The Departed' in the Crime,Drama,Thriller genre?"
100,In which other movies did Matt Damon star besides 'The Departed'?
101,What is the genre of the movie 'Legend'?
101,"Can you recommend a movie similar to 'Legend' in the Biography,Crime,Drama genre?"
101,In which other movies did Tom Hardy star besides 'Legend'?
102,What is the genre of the movie 'Thor'?
102,"Can you recommend a movie similar to 'Thor' in the Action,Adventure,Fantasy genre?"
102,In which other movies did Chris Hemsworth star besides 'Thor'?
103,What is the genre of the movie 'The Martian'?
103,"Can you recommend a movie similar to 'The Martian' in the Adventure,Drama,Sci-Fi genre?"
103,What other movies did Ridley Scott direct besides 'The Martian'?
104,What is the genre of the movie 'Contratiempo'?
104,"Can you recommend a movie similar to 'Contratiempo' in the Crime,Mystery,Thriller genre?"
104,What other movies did Oriol Paulo direct besides 'Contratiempo'?
105,What is the genre of the movie 'The Man from U.N.C.L.E.'?
105,"Can you recommend a movie similar to 'The Man from U.N.C.L.E.' in the Action,Adventure,Comedy genre?"
105,What other movies did Guy Ritchie direct besides 'The Man from U.N.C.L.E.'?
106,What is the genre of the movie 'Hell or High Water'?
106,"Can you recommend a movie similar to 'Hell or High Water' in the Crime,Drama,Thriller genre?"
106,What other movies did David Mackenzie direct besides 'Hell or High Water'?
107,What is the genre of the movie 'The Comedian'?
107,Can you recommend a movie similar to 'The Comedian' in the Comedy genre?
107,What other movies did Taylor Hackford direct besides 'The Comedian'?
108,What is the genre of the movie 'The Legend of Tarzan'?
108,"Can you recommend a movie similar to 'The Legend of Tarzan' in the Action,Adventure,Drama genre?"
108,In which other movies did Alexander Skarsgård star besides 'The Legend of Tarzan'?
109,What is the genre of the movie 'All We Had'?
109,Can you recommend a movie similar to 'All We Had' in the Drama genre?
109,What other movies did Katie Holmes direct besides 'All We Had'?
110,What is the genre of the movie 'Ex Machina'?
110,"Can you recommend a movie similar to 'Ex Machina' in the Drama,Mystery,Sci-Fi genre?"
110,What other movies did Alex Garland direct besides 'Ex Machina'?
111,What is the genre of the movie 'The Belko Experiment'?
111,"Can you recommend a movie similar to 'The Belko Experiment' in the Action,Horror,Thriller genre?"
111,What other movies did Greg McLean direct besides 'The Belko Experiment'?
112,What is the genre of the movie '12 Years a Slave'?
112,"Can you recommend a movie similar to '12 Years a Slave' in the Biography,Drama,History genre?"
112,In which other movies did Michael Fassbender star besides '12 Years a Slave'?
113,What is the genre of the movie 'The Bad Batch'?
113,"Can you recommend a movie similar to 'The Bad Batch' in the Romance,Sci-Fi genre?"
113,What other movies did Ana Lily Amirpour direct besides 'The Bad Batch'?
114,What is the genre of the movie '300'?
114,"Can you recommend a movie similar to '300' in the Action,Fantasy,War genre?"
114,What other movies did Zack Snyder direct besides '300'?
115,What is the genre of the movie 'Harry Potter and the Deathly Hallows: Part 2'?
115,"Can you recommend a movie similar to 'Harry Potter and the Deathly Hallows: Part 2' in the Adventure,Drama,Fantasy genre?"
115,What other movies did David Yates direct besides 'Harry Potter and the Deathly Hallows: Part 2'?
116,What is the genre of the movie 'Office Christmas Party'?
116,Can you recommend a movie similar to 'Office Christmas Party' in the Comedy genre?
116,In which other movies did Jason Bateman star besides 'Office Christmas Party'?
117,What is the genre of the movie 'The Neon Demon'?
117,"Can you recommend a movie similar to 'The Neon Demon' in the Horror,Thriller genre?"
117,In which other movies did Elle Fanning star besides 'The Neon Demon'?
118,What is the genre of the movie 'Dangal'?
118,"Can you recommend a movie similar to 'Dangal' in the Action,Biography,Drama genre?"
118,In which other movies did Sanya Malhotra star besides 'Dangal'?
119,What is the genre of the movie '10 Cloverfield Lane'?
119,"Can you recommend a movie similar to '10 Cloverfield Lane' in the Drama,Horror,Mystery genre?"
119,In which other movies did John Gallagher Jr. star besides '10 Cloverfield Lane'?
120,What is the genre of the movie 'Finding Dory'?
120,"Can you recommend a movie similar to 'Finding Dory' in the Animation,Adventure,Comedy genre?"
120,What other movies did Andrew Stanton direct besides 'Finding Dory'?
121,What is the genre of the movie 'Miss Peregrine's Home for Peculiar Children'?
121,"Can you recommend a movie similar to 'Miss Peregrine's Home for Peculiar Children' in the Adventure,Drama,Family genre?"
121,What other movies did Tim Burton direct besides 'Miss Peregrine's Home for Peculiar Children'?
122,What is the genre of the movie 'Divergent'?
122,"Can you recommend a movie similar to 'Divergent' in the Adventure,Mystery,Sci-Fi genre?"
122,What other movies did Neil Burger direct besides 'Divergent'?
123,What is the genre of the movie 'Mike and Dave Need Wedding Dates'?
123,"Can you recommend a movie similar to 'Mike and Dave Need Wedding Dates' in the Adventure,Comedy,Romance genre?"
123,In which other movies did Aubrey Plaza star besides 'Mike and Dave Need Wedding Dates'?
124,What is the genre of the movie 'Boyka: Undisputed IV'?
124,Can you recommend a movie similar to 'Boyka: Undisputed IV' in the Action genre?
124,What other movies did Todor Chapkanov direct besides 'Boyka: Undisputed IV'?
125,What is the genre of the movie 'The Dark Knight Rises'?
125,"Can you recommend a movie similar to 'The Dark Knight Rises' in the Action,Thriller genre?"
125,In which other movies did Anne Hathaway star besides 'The Dark Knight Rises'?
126,What is the genre of the movie 'The Jungle Book'?
126,"Can you recommend a movie similar to 'The Jungle Book' in the Adventure,Drama,Family genre?"
126,What other movies did Jon Favreau direct besides 'The Jungle Book'?
127,What is the genre of the movie 'Transformers: Age of Extinction'?
127,"Can you recommend a movie similar to 'Transformers: Age of Extinction' in the Action,Adventure,Sci-Fi genre?"
127,In which other movies did Mark Wahlberg star besides 'Transformers: Age of Extinction'?
128,What is the genre of the movie 'Nerve'?
128,"Can you recommend a movie similar to 'Nerve' in the Adventure,Crime,Mystery genre?"
128,What other movies did Henry Joost direct besides 'Nerve'?
129,What is the genre of the movie 'Mamma Mia!'?
129,"Can you recommend a movie similar to 'Mamma Mia!' in the Comedy,Family,Musical genre?"
129,What other movies did Phyllida Lloyd direct besides 'Mamma Mia!'?
130,What is the genre of the movie 'The Revenant'?
130,"Can you recommend a movie similar to 'The Revenant' in the Adventure,Drama,Thriller genre?"
130,What other movies did Alejandro González Iñárritu direct besides 'The Revenant'?
131,What is the genre of the movie 'Fences'?
131,Can you recommend a movie similar to 'Fences' in the Drama genre?
131,What other movies did Denzel Washington direct besides 'Fences'?
132,What is the genre of the movie 'Into the Woods'?
132,"Can you recommend a movie similar to 'Into the Woods' in the Adventure,Comedy,Drama genre?"
132,What other movies did Rob Marshall direct besides 'Into the Woods'?
133,What is the genre of the movie 'The Shallows'?
133,"Can you recommend a movie similar to 'The Shallows' in the Drama,Horror,Thriller genre?"
133,What other movies did Jaume Collet-Serra direct besides 'The Shallows'?
134,What is the genre of the movie 'Whiplash'?
134,"Can you recommend a movie similar to 'Whiplash' in the Drama,Music genre?"
134,In which other movies did Melissa Benoist star besides 'Whiplash'?
135,What is the genre of the movie 'Furious 6'?
135,"Can you recommend a movie similar to 'Furious 6' in the Action,Crime,Thriller genre?"
135,In which other movies did Dwayne Johnson star besides 'Furious 6'?
136,What is the genre of the movie 'The Place Beyond the Pines'?
136,"Can you recommend a movie similar to 'The Place Beyond the Pines' in the Crime,Drama,Thriller genre?"
136,In which other movies did Bradley Cooper star besides 'The Place Beyond the Pines'?
137,What is the genre of the movie 'No Country for Old Men'?
137,"Can you recommend a movie similar to 'No Country for Old Men' in the Crime,Drama,Thriller genre?"
137,In which other movies did Woody Harrelson star besides 'No Country for Old Men'?
138,What is the genre of the movie 'The Great Gatsby'?
138,"Can you recommend a movie similar to 'The Great Gatsby' in the Drama,Romance genre?"
138,In which other movies did Carey Mulligan star besides 'The Great Gatsby'?
139,What is the genre of the movie 'Shutter Island'?
139,"Can you recommend a movie similar to 'Shutter Island' in the Mystery,Thriller genre?"
139,What other movies did Martin Scorsese direct besides 'Shutter Island'?
140,What is the genre of the movie 'Brimstone'?
140,"Can you recommend a movie similar to 'Brimstone' in the Mystery,Thriller,Western genre?"
140,What other movies did Martin Koolhoven direct besides 'Brimstone'?
141,What is the genre of the movie 'Star Trek'?
141,"Can you recommend a movie similar to 'Star Trek' in the Action,Adventure,Sci-Fi genre?"
141,In which other movies did Zachary Quinto star besides 'Star Trek'?
142,What is the genre of the movie 'Diary of a Wimpy Kid'?
142,"Can you recommend a movie similar to 'Diary of a Wimpy Kid' in the Comedy,Family genre?"
142,What other movies did Thor Freudenthal direct besides 'Diary of a Wimpy Kid'?
143,What is the genre of the movie 'The Big Short'?
143,"Can you recommend a movie similar to 'The Big Short' in the Biography,Comedy,Drama genre?"
143,In which other movies did Brad Pitt star besides 'The Big Short'?
144,What is the genre of the movie 'Room'?
144,Can you recommend a movie similar to 'Room' in the Drama genre?
144,In which other movies did Jacob Tremblay star besides 'Room'?
145,What is the genre of the movie 'Django Unchained'?
